Index,SPN190_Logged_Phys,SPN190_Logged_Raw,SPN190_Original_Phys,SPN190_Original_Raw,SPN190_Error,SPN91_Logged_Phys,SPN91_Logged_Raw,SPN91_Original_Phys,SPN91_Original_Raw,SPN91_Error,SPN84_Logged_Phys,SPN84_Logged_Raw,SPN84_Original_Phys,SPN84_Original_Raw,SPN84_Error,SPN183_Logged_Phys,SPN183_Logged_Raw,SPN183_Original_Phys,SPN183_Original_Raw,SPN183_Error,SPN184_Logged_Phys,SPN184_Logged_Raw,SPN184_Original_Phys,SPN184_Original_Raw,SPN184_Error
0,,,0.0,0,,10.0,25,0.0,0,10.0,60.0,15360,0.0,0,60.0,50.0,1000,0.0,0,50.0,15.0,7680,15.0,7680,0.0
1,,,1.2,10,,,,0.0,0,,,,0.1,26,,,,0.0,0,,,,15.0,7680,
2,,,2.4,19,,,,0.0,0,,,,0.2,51,,,,0.0,0,,,,15.0,7680,
3,,,3.6,29,,,,0.0,0,,,,0.3,77,,,,0.0,0,,,,15.0,7680,
4,,,4.8,38,,,,0.0,0,,,,0.4,102,,,,0.0,0,,,,15.0,7680,
5,,,6.0,48,,,,0.0,0,,,,0.5,128,,,,0.0,0,,,,15.0,7680,
6,,,7.2,58,,,,0.0,0,,,,0.6,154,,,,0.0,0,,,,15.0,7680,
7,,,8.4,67,,,,0.0,0,,,,0.7,179,,,,0.0,0,,,,15.0,7680,
8,,,9.6,77,,,,0.0,0,,,,0.8,205,,,,0.0,0,,,,15.0,7680,
9,,,10.8,86,,,,0.0,0,,,,0.9,230,,,,0.0,0,,,,15.0,7680,
10,,,12.0,96,,,,0.0,0,,,,1.0,256,,,,0.0,0,,,,15.0,7680,
11,,,13.2,106,,,,0.0,0,,,,1.1,282,,,,0.0,0,,,,15.0,7680,
12,,,14.4,115,,,,0.0,0,,,,1.2,307,,,,0.0,0,,,,15.0,7680,
13,,,15.6,125,,,,0.0,0,,,,1.3,333,,,,0.0,0,,,,15.0,7680,
14,,,16.8,134,,,,0.0,0,,,,1.4,358,,,,0.0,0,,,,15.0,7680,
15,,,18.0,144,,,,0.0,0,,,,1.5,384,,,,0.0,0,,,,15.0,7680,
16,830.0,6640,19.2,154,810.8,10.0,25,0.0,0,10.0,,,1.6,410,,,,0.0,0,,,,15.0,7680,
17,,,20.4,163,,,,0.0,0,,62.5,16000,1.7,435,60.8,50.0,1000,0.0,0,50.0,15.0,7680,15.0,7680,0.0
18,,,21.6,173,,,,0.0,0,,,,1.8,461,,,,0.0,0,,,,15.0,7680,
19,,,22.8,182,,,,0.0,0,,,,1.9,486,,,,0.0,0,,,,15.0,7680,
20,,,24.0,192,,,,0.0,0,,,,2.0,512,,,,0.0,0,,,,15.0,7680,
21,,,25.2,202,,,,0.0,0,,,,2.1,538,,,,0.0,0,,,,15.0,7680,
22,,,26.4,211,,,,0.0,0,,,,2.2,563,,,,0.0,0,,,,15.0,7680,
23,,,27.6,221,,,,0.0,0,,,,2.3,589,,,,0.0,0,,,,15.0,7680,
24,,,28.8,230,,,,0.0,0,,,,2.4,614,,,,0.0,0,,,,15.0,7680,
25,,,30.0,240,,,,0.0,0,,,,2.5,640,,,,0.0,0,,,,15.0,7680,
26,,,31.2,250,,,,0.0,0,,,,2.6,666,,,,0.0,0,,,,15.0,7680,
27,,,32.4,259,,,,0.0,0,,,,2.7,691,,,,0.0,0,,,,15.0,7680,
28,,,33.6,269,,,,0.0,0,,,,2.8,717,,,,0.0,0,,,,15.0,7680,
29,,,34.8,278,,,,0.0,0,,,,2.9,742,,,,0.0,0,,,,15.0,7680,
30,,,36.0,288,,,,0.0,0,,,,3.0,768,,,,0.0,0,,,,15.0,7680,
31,,,37.2,298,,,,0.0,0,,,,3.1,794,,,,0.0,0,,,,15.0,7680,
32,,,38.4,307,,,,0.0,0,,,,3.2,819,,,,0.0,0,,,,15.0,7680,
33,860.0,6880,39.6,317,820.4,10.0,25,0.0,0,10.0,65.0,16640,3.3,845,61.7,50.0,1000,0.0,0,50.0,15.0,7680,15.0,7680,0.0
34,,,40.8,326,,,,0.0,0,,,,3.4,870,,,,0.0,0,,,,15.0,7680,
35,,,42.0,336,,,,0.0,0,,,,3.5,896,,,,0.0,0,,,,15.0,7680,
36,,,43.2,346,,,,0.0,0,,,,3.6,922,,,,0.0,0,,,,15.0,7680,
37,,,44.4,355,,,,0.0,0,,,,3.7,947,,,,0.0,0,,,,15.0,7680,
38,,,45.6,365,,,,0.0,0,,,,3.8,973,,,,0.0,0,,,,15.0,7680,
39,,,46.8,374,,,,0.0,0,,,,3.9,998,,,,0.0,0,,,,15.0,7680,
40,,,48.0,384,,,,0.0,0,,,,4.0,1024,,,,0.0,0,,,,15.0,7680,
41,,,49.2,394,,,,0.0,0,,,,4.1,1050,,,,0.0,0,,,,15.0,7680,
42,,,50.4,403,,,,0.0,0,,,,4.2,1075,,,,0.0,0,,,,15.0,7680,
43,,,51.6,413,,,,0.0,0,,,,4.3,1101,,,,0.0,0,,,,15.0,7680,
44,,,52.8,422,,,,0.0,0,,,,4.4,1126,,,,0.0,0,,,,15.0,7680,
45,,,54.0,432,,,,0.0,0,,,,4.5,1152,,,,0.0,0,,,,15.0,7680,
46,,,55.2,442,,,,0.0,0,,,,4.6,1178,,,,0.0,0,,,,15.0,7680,
47,,,56.4,451,,,,0.0,0,,,,4.7,1203,,,,0.0,0,,,,15.0,7680,
48,,,57.6,461,,,,0.0,0,,,,4.8,1229,,,,0.0,0,,,,15.0,7680,
49,,,58.8,470,,,,0.0,0,,,,4.9,1254,,,,0.0,0,,,,15.0,7680,
50,890.0,7120,60.0,480,830.0,10.0,25,0.0,0,10.0,67.5,17280,5.0,1280,62.5,50.0,1000,0.0,0,50.0,15.0,7680,15.0,7680,0.0
51,,,61.2,490,,,,0.0,0,,,,5.1,1306,,,,0.0,0,,,,15.0,7680,
52,,,62.4,499,,,,0.0,0,,,,5.2,1331,,,,0.0,0,,,,15.0,7680,
